dt,AverageTemperature
1796-01-01,24.317
1796-02-01,23.923
1796-03-01,24.407
1796-04-01,27.171
1796-05-01,29.05
1796-06-01,28.539
1796-07-01,26.857
1796-08-01,26.887
1796-09-01,27.123
1796-10-01,27.562
1796-11-01,26.966
1796-12-01,23.972
1797-01-01,24.192095238095234
1797-02-01,24.039885714285717
1797-03-01,24.988
1797-04-01,26.528
1797-05-01,28.488
1797-06-01,29.328
1797-07-01,27.069
1797-08-01,27.246
1797-09-01,27.253
1797-10-01,27.232
1797-11-01,26.246
1797-12-01,25.502
1798-01-01,24.467
1798-02-01,24.321
1798-03-01,26.287
1798-04-01,27.41380193236715
1798-05-01,28.902565217391306
1798-06-01,28.843
1798-07-01,28.105
1798-08-01,27.394
1798-09-01,27.197
1798-10-01,27.535
1798-11-01,27.479
1798-12-01,25.185
1799-01-01,23.938
1799-02-01,22.776
1799-03-01,25.171
1799-04-01,27.868
1799-05-01,29.251
1799-06-01,29.241
1799-07-01,27.194
1799-08-01,27.122
1799-09-01,27.249
1799-10-01,28.157
1799-11-01,26.838
1799-12-01,25.355
1800-01-01,24.394
1800-02-01,24.477
1800-03-01,25.033
1800-04-01,28.385
1800-05-01,28.427
1800-06-01,28.65
1800-07-01,26.586
1800-08-01,26.526
1800-09-01,26.221
1800-10-01,27.877
1800-11-01,27.47
1800-12-01,25.849
1801-01-01,24.724
1801-02-01,23.601
1801-03-01,27.124
1801-04-01,27.41380193236715
1801-05-01,28.902565217391306
1801-06-01,28.076
1801-07-01,27.332
1801-08-01,26.643
1801-09-01,26.777
1801-10-01,27.569
1801-11-01,27.28
1801-12-01,26.609
1802-01-01,25.155
1802-02-01,24.487
1802-03-01,26.891
1802-04-01,27.781
1802-05-01,28.269
1802-06-01,29.809
1802-07-01,27.975
1802-08-01,27.028
1802-09-01,28.007
1802-10-01,28.127
1802-11-01,27.083
1802-12-01,25.195
1803-01-01,23.025
1803-02-01,23.08
1803-03-01,25.411
1803-04-01,28.14
1803-05-01,29.227
1803-06-01,29.06
1803-07-01,27.987
1803-08-01,28.228
1803-09-01,27.951
1803-10-01,27.903
1803-11-01,27.566
1803-12-01,25.413
1804-01-01,24.862
1804-02-01,23.976
1804-03-01,25.312
1804-04-01,29.017
1804-05-01,29.737
1804-06-01,29.411
1804-07-01,28.846
1804-08-01,27.226
1804-09-01,27.725
1804-10-01,27.761
1804-11-01,28.435
1804-12-01,25.061
1805-01-01,24.461
1805-02-01,23.797
1805-03-01,25.96
1805-04-01,26.92
1805-05-01,29.166
1805-06-01,29.391
1805-07-01,27.137
1805-08-01,27.589
1805-09-01,27.104
1805-10-01,26.465
1805-11-01,26.88
1805-12-01,26.477
1806-01-01,24.361
1806-02-01,23.696
1806-03-01,25.034
1806-04-01,27.26
1806-05-01,28.957
1806-06-01,27.426
1806-07-01,27.155
1806-08-01,27.3
