dt,AverageTemperature,AverageTemperatureUncertainty,City,Country
1796-01-01,24.317,2.19,Colombo,Sri Lanka
1796-02-01,23.923,1.484,Colombo,Sri Lanka
1796-03-01,24.407,2.309,Colombo,Sri Lanka
1796-04-01,27.171,1.65,Colombo,Sri Lanka
1796-05-01,29.05,1.29,Colombo,Sri Lanka
1796-06-01,28.539,3.125,Colombo,Sri Lanka
1796-07-01,26.857,2.249,Colombo,Sri Lanka
1796-08-01,26.887,2.95,Colombo,Sri Lanka
1796-09-01,27.123,3.379,Colombo,Sri Lanka
1796-10-01,27.562,1.493,Colombo,Sri Lanka
1796-11-01,26.966,3.033,Colombo,Sri Lanka
1796-12-01,23.972,3.966,Colombo,Sri Lanka
1797-01-01,,,Colombo,Sri Lanka
1797-02-01,,,Colombo,Sri Lanka
1797-03-01,24.988,1.944,Colombo,Sri Lanka
1797-04-01,26.528,2.769,Colombo,Sri Lanka
1797-05-01,28.488,2.185,Colombo,Sri Lanka
1797-06-01,29.328,2.026,Colombo,Sri Lanka
1797-07-01,27.069,2.255,Colombo,Sri Lanka
1797-08-01,27.246,2.162,Colombo,Sri Lanka
1797-09-01,27.253,2.864,Colombo,Sri Lanka
1797-10-01,27.232,2.043,Colombo,Sri Lanka
1797-11-01,26.246,1.749,Colombo,Sri Lanka
1797-12-01,25.502,2.578,Colombo,Sri Lanka
1798-01-01,24.467,1.969,Colombo,Sri Lanka
1798-02-01,24.321,1.798,Colombo,Sri Lanka
1798-03-01,26.287,1.707,Colombo,Sri Lanka
1798-04-01,,,Colombo,Sri Lanka
1798-05-01,,,Colombo,Sri Lanka
1798-06-01,28.843,2.055,Colombo,Sri Lanka
1798-07-01,28.105,2.196,Colombo,Sri Lanka
1798-08-01,27.394,4.078,Colombo,Sri Lanka
1798-09-01,27.197,2.563,Colombo,Sri Lanka
1798-10-01,27.535,2.15,Colombo,Sri Lanka
1798-11-01,27.479,2.462,Colombo,Sri Lanka
1798-12-01,25.185,2.049,Colombo,Sri Lanka
1799-01-01,23.938,2.078,Colombo,Sri Lanka
1799-02-01,22.776,2.366,Colombo,Sri Lanka
1799-03-01,25.171,2.46,Colombo,Sri Lanka
1799-04-01,27.868,3.101,Colombo,Sri Lanka
1799-05-01,29.251,1.368,Colombo,Sri Lanka
1799-06-01,29.241,2.411,Colombo,Sri Lanka
1799-07-01,27.194,1.95,Colombo,Sri Lanka
1799-08-01,27.122,1.183,Colombo,Sri Lanka
1799-09-01,27.249,2.284,Colombo,Sri Lanka
1799-10-01,28.157,1.842,Colombo,Sri Lanka
1799-11-01,26.838,1.797,Colombo,Sri Lanka
1799-12-01,25.355,1.585,Colombo,Sri Lanka
1800-01-01,24.394,1.811,Colombo,Sri Lanka
1800-02-01,24.477,3.501,Colombo,Sri Lanka
1800-03-01,25.033,2.868,Colombo,Sri Lanka
1800-04-01,28.385,1.626,Colombo,Sri Lanka
1800-05-01,28.427,1.279,Colombo,Sri Lanka
1800-06-01,28.65,1.368,Colombo,Sri Lanka
1800-07-01,26.586,1.765,Colombo,Sri Lanka
1800-08-01,26.526,2.077,Colombo,Sri Lanka
1800-09-01,26.221,2.056,Colombo,Sri Lanka
1800-10-01,27.877,2.215,Colombo,Sri Lanka
1800-11-01,27.47,2.57,Colombo,Sri Lanka
1800-12-01,25.849,1.69,Colombo,Sri Lanka
1801-01-01,24.724,1.599,Colombo,Sri Lanka
1801-02-01,23.601,1.27,Colombo,Sri Lanka
